año,mes,nombre departamento,código departamento,nombre municipio,código municipio,precio promedio por litro,ipc,PRECIO_DOLAR
2013,1,antioquia,5,yarumal,5887,853.4106772616373,112.149,1769.6725806451611
2013,2,antioquia,5,yarumal,5887,865.8888549079575,112.6471,1790.5478571428573
2013,3,antioquia,5,yarumal,5887,844.6204468861087,112.8788,1813.7487096774196
2013,4,antioquia,5,yarumal,5887,875.4211628949138,113.1643,1830.2313333333332
2013,5,antioquia,5,yarumal,5887,847.1172073342736,113.4797,1847.9212903225805
2013,6,antioquia,5,yarumal,5887,849.7428173280824,113.7462,1909.849333333333
2013,7,antioquia,5,yarumal,5887,830.3744080548794,113.7973,1901.5425806451613
2013,8,antioquia,5,yarumal,5887,851.462958582316,113.8922,1902.1041935483872
2013,9,antioquia,5,yarumal,5887,881.5500879453512,114.2258,1919.5123333333331
2013,10,antioquia,5,yarumal,5887,887.9141157584554,113.9293,1885.1312903225803
2013,11,antioquia,5,yarumal,5887,887.9141157584554,113.6829,1921.753
2013,12,antioquia,5,yarumal,5887,878.1673621625614,113.9825,1932.956129032258
2014,1,antioquia,5,yarumal,5887,865.0229663777225,114.5368,1957.2870967741933
2014,2,antioquia,5,yarumal,5887,875.5988990964045,115.2592,2038.4925
2014,3,antioquia,5,yarumal,5887,894.2478844819976,115.7136,2019.713225806452
2014,4,antioquia,5,yarumal,5887,902.5948093346336,116.2432,1938.3603333333333
2014,5,antioquia,5,yarumal,5887,897.8070947021209,116.8056,1915.360967741936
2014,6,antioquia,5,yarumal,5887,904.4226933765924,116.9144,1887.0393333333332
2014,7,antioquia,5,yarumal,5887,906.2226758985846,117.0913,1857.6441935483872
2014,8,antioquia,5,yarumal,5887,898.61902300336,117.3292,1898.1251612903225
2014,9,antioquia,5,yarumal,5887,899.557361227045,117.4886,1973.7166666666667
2014,10,antioquia,5,yarumal,5887,897.2859960134017,117.6822,2048.5674193548384
2014,11,antioquia,5,yarumal,5887,897.7952512496711,117.8373,2128.683666666667
2014,12,antioquia,5,yarumal,5887,888.0874329159213,118.1517,2342.253548387097
2015,1,antioquia,5,yarumal,5887,894.2800419386479,118.9129,2397.2580645161293
2015,2,antioquia,5,yarumal,5887,895.7868893493346,120.2799,2420.6725
2015,3,antioquia,5,yarumal,5887,888.0877300528024,120.9846,2585.362258064516
2015,4,antioquia,5,yarumal,5887,896.7332157337686,121.6344,2505.248
2015,5,antioquia,5,yarumal,5887,891.6023579080387,121.9543,2437.5351612903223
2015,6,antioquia,5,yarumal,5887,875.7559796509177,122.0824,2562.4776666666667
2015,7,antioquia,5,yarumal,5887,869.2788873261447,122.3085,2732.035806451613
2015,8,antioquia,5,yarumal,5887,870.4056629092861,122.8956,3012.5874193548384
2015,9,antioquia,5,yarumal,5887,888.7296569811581,123.775,3066.4080000000004
2015,10,antioquia,5,yarumal,5887,886.5167065231832,124.6193,2929.472258064516
2015,11,antioquia,5,yarumal,5887,892.6109830644353,125.3708,3001.376333333333
2015,12,antioquia,5,yarumal,5887,898.6128644424406,126.1495,3244.201612903226
2016,1,antioquia,5,yarumal,5887,975.936729164701,127.7775,3270.195161290322
2016,2,antioquia,5,yarumal,5887,1005.487732839759,129.4126,3354.956896551724
2016,3,antioquia,5,yarumal,5887,1013.2079748809284,130.6339,3128.7890322580647
2016,4,antioquia,5,yarumal,5887,1009.221299043851,131.2819,2997.727
2016,5,antioquia,5,yarumal,5887,988.8045716978908,131.9512,2993.508387096774
2016,6,antioquia,5,yarumal,5887,1017.9508424943592,132.5841,2992.8586666666665
2016,7,antioquia,5,yarumal,5887,1035.151463433273,133.2735,2960.999677419355
2016,8,antioquia,5,yarumal,5887,1029.174099202951,132.8472,2952.7667741935484
2016,9,antioquia,5,yarumal,5887,1043.9739573033007,132.777,2924.2653333333333
2016,10,antioquia,5,yarumal,5887,1053.232755654053,132.6974,2929.3887096774192
2016,11,antioquia,5,yarumal,5887,1059.3275057009448,132.846,3110.2586666666666
2016,12,antioquia,5,yarumal,5887,1066.1200776092871,133.3998,3009.863870967742
2017,1,antioquia,5,yarumal,5887,1043.3519424693827,134.7659,2941.3993548387098
2017,2,antioquia,5,yarumal,5887,1044.9850926846132,136.1213,2879.5667857142857
2017,3,antioquia,5,yarumal,5887,1060.0999943480472,136.7554,2942.286129032258
2017,4,antioquia,5,yarumal,5887,1060.4538698295923,137.4033,2877.8216666666663
2017,5,antioquia,5,yarumal,5887,1063.0625019130116,137.7129,2923.6129032258063
2017,6,antioquia,5,yarumal,5887,1059.5439266248889,137.8707,2957.0983333333334
2017,7,antioquia,5,yarumal,5887,1053.1727807763853,137.8002,3036.5838709677423
2017,8,antioquia,5,yarumal,5887,1062.95599862902,137.9932,2973.204838709677
2017,9,antioquia,5,yarumal,5887,1044.8924840100717,138.0488,2917.085
2017,10,antioquia,5,yarumal,5887,1032.2648288678954,138.0719,2953.7558064516134
2017,11,antioquia,5,yarumal,5887,1015.4160220663188,138.3216,3013.4666666666667
2017,12,antioquia,5,yarumal,5887,1025.970250489956,138.854,2991.7619354838707
2018,1,antioquia,5,yarumal,5887,1016.6378281622912,139.7247,2868.5722580645165
2018,2,antioquia,5,yarumal,5887,1035.088362371512,140.7115,2860.252857142857
2018,3,antioquia,5,yarumal,5887,1024.3263237869578,141.0494,2847.9306451612906
2018,4,antioquia,5,yarumal,5887,1014.7391100095576,141.7007,2766.2850000000003
2018,4,antioquia,5,yarumal,5887,1014.7391100095576,141.7007,2766.2850000000003
2018,5,antioquia,5,yarumal,5887,1009.46351765524,142.0602,2861.825806451613
2018,6,antioquia,5,yarumal,5887,1003.3625411531626,142.2799,2889.689
2018,7,antioquia,5,yarumal,5887,1007.4872637515606,142.28,2885.3219354838707
2018,8,antioquia,5,yarumal,5887,1001.6148198436048,142.1,2958.6667741935485
2018,9,antioquia,5,yarumal,5887,1001.0114619748982,142.27,3033.768
2018,10,antioquia,5,yarumal,5887,1003.75401975838,142.5,3084.830967741935
2018,11,antioquia,5,yarumal,5887,1021.3491693279273,142.84,3194.034333333333
2018,12,antioquia,5,yarumal,5887,1026.4864186913208,143.27,3218.5509677419354
2019,1,antioquia,5,yarumal,5887,1034.741866031448,143.27,3165.188064516129
2019,2,antioquia,5,yarumal,5887,1033.2503788898175,101.18,3115.8385714285714
2019,3,antioquia,5,yarumal,5887,1031.1512443283375,101.62,3128.684193548387
2019,4,antioquia,5,yarumal,5887,1036.5083190142911,102.12,3155.765
2019,5,antioquia,5,yarumal,5887,1055.5958624708624,102.44,3304.4945161290325
2019,6,antioquia,5,yarumal,5887,1052.6340456121557,102.71,3260.517
2019,7,antioquia,5,yarumal,5887,1113.045847445301,102.94,3206.6003225806453
2019,8,antioquia,5,yarumal,5887,1108.1563660896522,103.03,3410.7290322580648
2019,9,antioquia,5,yarumal,5887,1114.3546451148277,103.26,3399.4570000000003
2019,10,antioquia,5,yarumal,5887,1105.0965668772317,103.43,3433.311612903226
2019,11,antioquia,5,yarumal,5887,1117.1326413942388,103.54,3401.473
2019,12,antioquia,5,yarumal,5887,1096.3933485560144,103.8,3378.0506451612905
2020,1,antioquia,5,yarumal,5887,1110.2124804255209,104.24,3311.1893548387097
2020,2,antioquia,5,yarumal,5887,1097.5795627015743,104.94,3411.052758620689
2020,3,antioquia,5,yarumal,5887,1109.315973800951,105.53,3877.048387096774
2020,4,antioquia,5,yarumal,5887,1161.076363178894,105.53,3977.393333333333
2020,5,antioquia,5,yarumal,5887,1161.8596061101357,105.53,3858.191612903226
2020,6,antioquia,5,yarumal,5887,1194.987807101047,105.53,3701.6043333333337
2020,7,antioquia,5,yarumal,5887,1168.1800321890844,105.53,3657.866774193548
2021,1,antioquia,5,yarumal,5887,1179.7991872379062,105.48,3491.3216129032257
2021,2,antioquia,5,yarumal,5887,1203.124427269652,105.91,3554.5042857142857
2021,3,antioquia,5,yarumal,5887,1205.7772762356983,106.58,3612.7683870967744
2021,4,antioquia,5,yarumal,5887,1191.7692932819648,107.12,3650.776
2021,5,antioquia,5,yarumal,5887,1204.1315282866544,107.76,3735.6661290322577
2021,6,antioquia,5,yarumal,5887,1244.7891600154703,108.84,3685.0426666666663
2021,7,antioquia,5,yarumal,5887,1260.911025360075,108.78,3829.418064516129
2021,8,antioquia,5,yarumal,5887,1236.9436459909227,109.14,3881.183548387097
2021,9,antioquia,5,yarumal,5887,1228.275311592279,109.62,3821.5376666666666
2021,10,antioquia,5,yarumal,5887,1264.07492560139,109.84,3773.384193548387
2021,11,antioquia,5,yarumal,5887,1268.8338499888148,110.06,3902.901
2021,12,antioquia,5,yarumal,5887,1414.7812486645869,110.6,3963.1335483870967
2022,1,antioquia,5,yarumal,5887,1721.1511749162223,107.06666666666666,3999.6161290322575
2022,2,antioquia,5,yarumal,5887,1811.686689213064,103.53333333333332,3935.835714285714
2022,3,antioquia,5,yarumal,5887,1884.8134922853312,100.0,3807.170967741936
2022,3,antioquia,5,yarumal,5887,1884.8134922853312,113.26,3807.170967741936
2022,4,antioquia,5,yarumal,5887,1967.0310367155505,116.26,3792.982
2022,4,antioquia,5,yarumal,5887,1967.0310367155505,116.26,3792.982
2022,4,antioquia,5,yarumal,5887,1967.0310367155505,115.11,3792.982
2022,4,antioquia,5,yarumal,5887,1967.0310367155505,100.0,3792.982
2022,5,antioquia,5,yarumal,5887,1993.8720984577035,117.71,4019.07935483871
2022,6,antioquia,5,yarumal,5887,1960.1975077881625,118.7,3930.766666666667
2022,7,antioquia,5,yarumal,5887,1951.975752961972,119.31,4367.8058064516135
2022,8,antioquia,5,yarumal,5887,1965.581396874872,120.27,4322.4693548387095
2022,9,antioquia,5,yarumal,5887,1957.4508798791303,121.5,4433.651
2022,10,antioquia,5,yarumal,5887,2067.139561904112,122.48666666666666,4711.830322580645
2022,11,antioquia,5,yarumal,5887,2119.088990471401,123.47333333333331,4926.660666666667
2022,12,antioquia,5,yarumal,5887,2174.9764396964138,124.46,4788.49064516129
2023,1,antioquia,5,yarumal,5001,2260.174410804525,126.365,4715.203870967742
2023,2,antioquia,5,yarumal,5,2382.44169273476,128.27,4803.1125
2023,3,antioquia,5,yarumal,5,2404.8289247174976,130.4,4766.3058064516135
2023,4,antioquia,5,yarumal,5,2391.1474066868054,131.77,4542.674333333333
2023,5,antioquia,5,yarumal,5,2412.71870924851,132.8,4540.089032258064
2023,6,antioquia,5,yarumal,5,2391.963484607935,133.38,4209.268
2023,7,antioquia,5,yarumal,5001,2332.127122419682,133.78,4069.233548387097
2023,8,antioquia,5,yarumal,5887,2251.2948305296327,134.45,4070.7251612903215
2023,9,antioquia,5,yarumal,5887,2164.6891779023986,135.39,4004.5206666666654
2023,10,antioquia,5,yarumal,5887,2160.615384615385,136.11,4222.433225806451
2023,11,antioquia,5,yarumal,5887,2125.4979296499228,136.45,4038.8046666666655
2023,12,antioquia,5,yarumal,5887,2119.770552584051,137.09,3948.206774193549
2024,1,antioquia,5,yarumal,5887,2101.6360679404784,137.72,3915.19870967742
2024,2,antioquia,5,yarumal,5887,2059.6412392587667,138.76,3931.438620689655
2024,3,antioquia,5,yarumal,5887,2060.0054261813248,139.79999999999998,3899.341290322581
2024,4,antioquia,5,yarumal,5887,1996.988210665492,140.84,3867.975333333333
2024,5,antioquia,5,yarumal,5887,1908.0003343922424,141.88,3869.10064516129
2024,6,antioquia,5,yarumal,5887,1867.569711041125,142.92,4042.797
2024,7,antioquia,5,yarumal,5887,1919.8676931106472,143.38,4036.921935483871
2024,8,antioquia,5,yarumal,5887,1899.802011685076,143.67,4065.546451612903
2024,9,antioquia,5,yarumal,5887,1906.0,143.845,4182.512333333333
2024,10,antioquia,5,yarumal,5887,1968.7888636484404,144.02,4249.47
2024,11,antioquia,5,yarumal,5887,1957.176054829728,143.83,4408.652333333333
2024,12,antioquia,5,yarumal,5887,1937.6337686351555,144.22,4385.148709677419
