año,mes,nombre departamento,código departamento,nombre municipio,código municipio,precio promedio por litro,ipc,PRECIO_DOLAR,PRECIO_PROMEDIO_BIODIESEL,PRECIO_PROMEDIO_CORRIENTE,PRECIO_PROMEDIO_EXTRA
2021,1,antioquia,5,yarumal,5887,1179.7991872379062,105.48,3491.3216129032257,8456.102536997885,8481.72520661157,11470.058091286308
2021,2,antioquia,5,yarumal,5887,1203.124427269652,105.91,3554.5042857142857,8529.885835095138,8583.135051546391,11542.45267489712
2021,3,antioquia,5,yarumal,5887,1205.7772762356983,106.58,3612.7683870967744,8644.089757127771,8759.719587628866,11741.61825726141
2021,4,antioquia,5,yarumal,5887,1191.7692932819648,107.12,3650.776,8687.36747624076,8790.843846949329,12110.850427350428
2021,5,antioquia,5,yarumal,5887,1204.1315282866544,107.76,3735.6661290322577,8744.867662753468,8890.243271221532,12177.167441860463
2021,6,antioquia,5,yarumal,5887,1244.7891600154703,108.84,3685.0426666666663,8707.669141039236,8920.663561076604,12211.42259414226
2021,7,antioquia,5,yarumal,5887,1260.911025360075,108.78,3829.418064516129,8678.43492063492,8876.855958549222,12516.127049180328
2021,8,antioquia,5,yarumal,5887,1236.9436459909227,109.14,3881.183548387097,8660.003188097768,8820.894409937888,12901.834710743802
2021,9,antioquia,5,yarumal,5887,1228.275311592279,109.62,3821.5376666666666,8794.026539278131,8978.368639667706,13512.527426160335
2021,10,antioquia,5,yarumal,5887,1264.07492560139,109.84,3773.384193548387,8851.533826638477,9049.923076923076,14108.733333333334
2021,11,antioquia,5,yarumal,5887,1268.8338499888148,110.06,3902.901,8842.158562367864,9048.674948240166,14607.542735042734
2021,12,antioquia,5,yarumal,5887,1414.7812486645869,110.6,3963.1335483870967,8924.440928270042,9121.38286893705,15011.328
2022,1,antioquia,5,yarumal,5887,1721.1511749162223,107.06666666666666,3999.6161290322575,9139.521739130434,9354.69587628866,15209.652719665271
2022,2,antioquia,5,yarumal,5887,1811.686689213064,103.53333333333332,3935.835714285714,9170.672995780593,9364.050672182006,15610.587234042554
2022,3,antioquia,5,yarumal,5887,1884.8134922853312,100.0,3807.170967741936,9187.843322818086,9389.673890608876,15987.94871794872
2022,3,antioquia,5,yarumal,5887,1884.8134922853312,113.26,3807.170967741936,9187.843322818086,9389.673890608876,15987.94871794872
2022,4,antioquia,5,yarumal,5887,1967.0310367155505,116.26,3792.982,9154.057712486883,9349.32546201232,16331.03829787234
2022,4,antioquia,5,yarumal,5887,1967.0310367155505,116.26,3792.982,9154.057712486883,9349.32546201232,16331.03829787234
2022,4,antioquia,5,yarumal,5887,1967.0310367155505,115.11,3792.982,9154.057712486883,9349.32546201232,16331.03829787234
2022,4,antioquia,5,yarumal,5887,1967.0310367155505,100.0,3792.982,9154.057712486883,9349.32546201232,16331.03829787234
2022,5,antioquia,5,yarumal,5887,1993.8720984577035,117.71,4019.07935483871,9161.859685863874,9362.147843942505,16367.699074074077
2022,6,antioquia,5,yarumal,5887,1960.1975077881625,118.7,3930.766666666667,9189.21780104712,9401.80452674897,17246.375
2022,7,antioquia,5,yarumal,5887,1951.975752961972,119.31,4367.8058064516135,9258.366492146595,9485.680041152264,17805.04054054054
2022,8,antioquia,5,yarumal,5887,1965.581396874872,120.27,4322.4693548387095,9367.541753653444,9616.848205128204,18128.225225225226
2022,9,antioquia,5,yarumal,5887,1957.4508798791303,121.5,4433.651,9305.173958333333,9542.905641025642,18172.00462962963
2022,10,antioquia,5,yarumal,5887,2067.139561904112,122.48666666666666,4711.830322580645,9285.706190975863,9720.66632337796,18268.928909952607
2022,11,antioquia,5,yarumal,5887,2119.088990471401,123.47333333333331,4926.660666666667,9304.598326359832,9995.624229979469,18615.421800947868
2022,12,antioquia,5,yarumal,5887,2174.9764396964138,124.46,4788.49064516129,9349.48319327731,10261.511794871794,18794.11904761905
2023,1,antioquia,5,yarumal,5001,2260.174410804525,126.365,4715.203870967742,9391.996865203762,10634.043032786883,18953.039130434783
2023,2,antioquia,5,yarumal,5,2382.44169273476,128.27,4803.1125,9422.025052192066,10802.098562628336,19084.105527638192
2023,3,antioquia,5,yarumal,5,2404.8289247174976,130.4,4766.3058064516135,9390.8125,11108.215384615383,19182.597156398104
2023,4,antioquia,5,yarumal,5,2391.1474066868054,131.77,4542.674333333333,9412.294858342078,11510.47638603696,19150.41116751269
2023,5,antioquia,5,yarumal,5,2412.71870924851,132.8,4540.089032258064,9357.177083333334,11854.435765673175,19184.251207729467
2023,6,antioquia,5,yarumal,5,2391.963484607935,133.38,4209.268,9450.941114616193,12478.916752312436,19244.511627906977
2023,7,antioquia,5,yarumal,5001,2332.127122419682,133.78,4069.233548387097,9566.307773109243,13244.979423868312,19245.941463414634
2023,8,antioquia,5,yarumal,5887,2251.2948305296327,134.45,4070.7251612903215,9508.56335078534,13541.06378600823,19276.781990521325
2023,9,antioquia,5,yarumal,5887,2164.6891779023986,135.39,4004.5206666666654,9511.595588235294,17202.439300411523,19456.405
2023,10,antioquia,5,yarumal,5887,2160.615384615385,136.11,4222.433225806451,9465.232776617951,14270.243827160491,19397.254901960783
2023,11,antioquia,5,yarumal,5887,2125.4979296499228,136.45,4038.8046666666655,9393.108079748165,14401.318556701031,19547.45933014354
2023,12,antioquia,5,yarumal,5887,2119.770552584051,137.09,3948.206774193549,9422.250797024442,14798.986472424558,19501.408888888887
2024,1,antioquia,5,yarumal,5887,2101.6360679404784,137.72,3915.19870967742,9467.146624472574,15323.41450777202,19668.090909090908
2024,2,antioquia,5,yarumal,5887,2059.6412392587667,138.76,3931.438620689655,9484.290966386554,15445.281573498964,19891.23255813953
2024,3,antioquia,5,yarumal,5887,2060.0054261813248,139.79999999999998,3899.341290322581,9489.697257383968,15547.09958506224,19914.562790697677
2024,4,antioquia,5,yarumal,5887,1996.988210665492,140.84,3867.975333333333,9490.147643979057,15547.867147270856,19954.278260869567
2024,5,antioquia,5,yarumal,5887,1908.0003343922424,141.88,3869.10064516129,9610.2554973822,15633.49074074074,19783.45581395349
2024,6,antioquia,5,yarumal,5887,1867.569711041125,142.92,4042.797,9600.77139874739,15606.026694045177,19960.946428571428
2024,7,antioquia,5,yarumal,5887,1919.8676931106472,143.38,4036.921935483871,9536.90690376569,15491.23975409836,19941.666666666668
2024,8,antioquia,5,yarumal,5887,1899.802011685076,143.67,4065.546451612903,9734.85220125786,15634.12641315519,19853.021551724138
2024,9,antioquia,5,yarumal,5887,1906.0,143.845,4182.512333333333,10643.024261603376,15333.738951695786,19666.29437229437
2024,10,antioquia,5,yarumal,5887,1968.7888636484404,144.02,4249.47,9845.792452830188,15141.749488752555,19604.77391304348
2024,11,antioquia,5,yarumal,5887,1957.176054829728,143.83,4408.652333333333,9601.978079331942,14770.22564102564,18781.052631578947
2024,12,antioquia,5,yarumal,5887,1937.6337686351555,144.22,4385.148709677419,10448.577568134173,15430.547227926078,19044.70869565217
