AÃ‘O,MES_NUM,PRECIO_PROMEDIO_BIODIESEL,PRECIO_PROMEDIO_CORRIENTE,PRECIO_PROMEDIO_EXTRA
2021,1,8456.102536997885,8481.72520661157,11470.058091286308
2021,2,8529.885835095138,8583.135051546391,11542.45267489712
2021,3,8644.089757127771,8759.719587628866,11741.61825726141
2021,4,8687.36747624076,8790.843846949329,12110.850427350428
2021,5,8744.867662753468,8890.243271221532,12177.167441860465
2021,6,8707.669141039236,8920.663561076604,12211.42259414226
2021,7,8678.43492063492,8876.855958549222,12516.127049180328
2021,8,8660.003188097768,8820.894409937888,12901.834710743802
2021,9,8794.026539278131,8978.368639667706,13512.527426160337
2021,10,8851.533826638477,9049.923076923076,14108.733333333334
2021,11,8842.158562367864,9048.674948240166,14607.542735042734
2021,12,8924.440928270042,9121.38286893705,15011.328
2022,1,9139.521739130434,9354.69587628866,15209.652719665271
2022,2,9170.672995780591,9364.050672182006,15610.587234042554
2022,3,9187.843322818086,9389.673890608876,15987.948717948719
2022,4,9154.057712486883,9349.32546201232,16331.038297872341
2022,5,9161.859685863874,9362.147843942505,16367.699074074075
2022,6,9189.21780104712,9401.80452674897,17246.375
2022,7,9258.366492146597,9485.680041152264,17805.04054054054
2022,8,9367.541753653444,9616.848205128204,18128.225225225226
2022,9,9305.173958333333,9542.905641025642,18172.00462962963
2022,10,9285.706190975865,9720.66632337796,18268.928909952607
2022,11,9304.598326359832,9995.624229979467,18615.421800947868
2022,12,9349.48319327731,10261.511794871794,18794.119047619046
2023,1,9391.996865203762,10634.043032786885,18953.039130434783
2023,2,9422.025052192066,10802.098562628336,19084.105527638192
2023,3,9390.8125,11108.215384615385,19182.597156398104
2023,4,9412.294858342078,11510.47638603696,19150.41116751269
2023,5,9357.177083333334,11854.435765673175,19184.251207729467
2023,6,9450.941114616193,12478.916752312436,19244.511627906977
2023,7,9566.307773109243,13244.979423868313,19245.941463414634
2023,8,9508.56335078534,13541.06378600823,19276.781990521325
2023,9,9511.595588235294,17202.439300411523,19456.405
2023,10,9465.232776617953,14270.243827160493,19397.254901960783
2023,11,9393.108079748165,14401.318556701031,19547.45933014354
2023,12,9422.250797024442,14798.986472424558,19501.408888888887
2024,1,9467.146624472574,15323.41450777202,19668.090909090908
2024,2,9484.290966386554,15445.281573498965,19891.232558139534
2024,3,9489.697257383967,15547.09958506224,19914.562790697673
2024,4,9490.147643979057,15547.867147270856,19954.278260869567
2024,5,9610.255497382199,15633.49074074074,19783.45581395349
2024,6,9600.77139874739,15606.026694045175,19960.946428571428
2024,7,9536.90690376569,15491.23975409836,19941.666666666668
2024,8,9734.852201257861,15634.12641315519,19853.021551724138
2024,9,10643.024261603376,15333.738951695786,19666.29437229437
2024,10,9845.792452830188,15141.749488752555,19604.77391304348
2024,11,9601.978079331942,14770.225641025641,18781.052631578947
2024,12,10448.577568134171,15430.547227926078,19044.708695652174
2025,1,10523.050156739811,15442.45799180328,19351.74693877551
2025,2,10628.193277310924,15560.218461538461,19207.2331838565
2025,3,8309.779057591622,12312.403707518022,14710.004219409282
2025,4,8319.26975763962,12240.80883864337,15206.194214876034
2025,5,8362.54811715481,12324.802469135802,16822.405857740585
2025,6,8684.13550420168,12856.165467625899,16858.472573839663
2025,7,7808.0984293193715,11490.530800821356,14526.238683127573
2025,8,8340.955020920503,11963.169578622816,16095.531380753138
2025,9,10643.954879328436,15520.447668393783,19472.767634854772
2025,10,10537.38105263158,15505.339211618257,19178.726530612246
2025,11,10958.957068062828,16078.366632337797,19898.861224489796
